id_donatur,tanggal_donasi,kategori_donasi,nominal_donasi,metode_pembayaran,donasi_rutin,sumber_informasi,alasan_donasi,pernah_donasi
D0001,2026-05-24,Pendidikan,10000,ShopeePay,Tidak,Facebook,Keagamaan,Ya
D0002,2026-03-17,Pendidikan,500000,OVO,Ya,Instagram,Kemanusiaan,Ya
D0003,2026-04-02,Bencana Alam,250000,Transfer Bank,Tidak,Facebook,Pendidikan,Tidak
D0004,2026-03-04,Kesehatan,150000,GoPay,Tidak,Facebook,Keagamaan,Tidak
D0005,2026-03-17,Pendidikan,150000,QRIS,Tidak,Teman/Keluarga,Sosial,Tidak
D0006,2026-03-09,Panti Asuhan,250000,QRIS,Tidak,Instagram,Bencana,Tidak
D0007,2026-05-23,Lingkungan,500000,Transfer Bank,Ya,Instagram,Kepedulian Lingkungan,Ya
D0008,2026-04-10,Pendidikan,50000,QRIS,Tidak,TikTok,Pendidikan,Tidak
D0009,2026-03-24,Lingkungan,100000,Transfer Bank,Tidak,Email,Kepedulian Lingkungan,Ya
D0010,2026-05-20,Kesehatan,250000,ShopeePay,Ya,Facebook,Pendidikan,Tidak
D0011,2026-04-07,Rumah Ibadah,100000,QRIS,Ya,Teman/Keluarga,Kemanusiaan,Tidak
D0012,2026-04-24,Anak Yatim,20000,Transfer Bank,Tidak,Facebook,Kepedulian Lingkungan,Tidak
D0013,2026-04-23,Panti Asuhan,25000,GoPay,Ya,Facebook,Kepedulian Lingkungan,Tidak
D0014,2026-05-17,Bantuan Sosial,500000,OVO,Tidak,Facebook,Keagamaan,Tidak
D0015,2026-03-15,Bencana Alam,20000,Transfer Bank,Ya,Teman/Keluarga,Kepedulian Lingkungan,Tidak
D0016,2026-05-19,Pendidikan,150000,OVO,Tidak,Website,Sosial,Ya
D0017,2026-05-30,Pendidikan,250000,GoPay,Tidak,Instagram,Sosial,Tidak
D0018,2026-03-24,Panti Asuhan,10000,ShopeePay,Tidak,Website,Keagamaan,Ya
D0019,2026-05-23,Anak Yatim,250000,DANA,Ya,Facebook,Sosial,Ya
D0020,2026-05-12,Bencana Alam,500000,GoPay,Tidak,Instagram,Kemanusiaan,Tidak
D0021,2026-04-12,Rumah Ibadah,10000,Transfer Bank,Ya,Instagram,Kepedulian Lingkungan,Tidak
D0022,2026-03-12,Kesehatan,25000,ShopeePay,Tidak,Website,Keagamaan,Tidak
D0023,2026-05-10,Bantuan Sosial,50000,DANA,Ya,Email,Sosial,Tidak
D0024,2026-05-28,Lingkungan,200000,DANA,Tidak,Instagram,Keagamaan,Ya
D0025,2026-03-12,Lingkungan,10000,DANA,Ya,Website,Keagamaan,Ya
D0026,2026-03-13,Bencana Alam,50000,QRIS,Ya,Teman/Keluarga,Sosial,Ya
D0027,2026-05-08,Rumah Ibadah,75000,ShopeePay,Tidak,Facebook,Bencana,Ya
D0028,2026-05-16,Panti Asuhan,50000,OVO,Tidak,Facebook,Kemanusiaan,Ya
D0029,2026-05-27,Bantuan Sosial,100000,OVO,Tidak,WhatsApp,Kepedulian Lingkungan,Ya
D0030,2026-05-29,Pendidikan,10000,OVO,Tidak,Teman/Keluarga,Kemanusiaan,Ya
